Company_name,Year,Predicted_Repurchase
BKR,2024,-396
BKR,2025,-396
BKR,2026,-396
BKR,2027,-397
BKR,2028,-397
BKR,2029,-398
BKR,2030,-398
BKR,2031,-398
BKR,2032,-399
BKR,2033,-399
HAL,2024,-403
HAL,2025,-403
HAL,2026,-404
HAL,2027,-405
HAL,2028,-406
HAL,2029,-407
HAL,2030,-407
HAL,2031,-408
HAL,2032,-409
HAL,2033,-410
NOV,2024,-224
NOV,2025,-264
NOV,2026,-305
NOV,2027,-346
NOV,2028,-390
NOV,2029,-435
NOV,2030,-472
NOV,2031,-516
NOV,2032,-554
NOV,2033,-584
WHD,2024,-860
WHD,2025,-872
WHD,2026,-883
WHD,2027,-891
WHD,2028,-900
WHD,2029,-908
WHD,2030,-915
WHD,2031,-923
WHD,2032,-930
WHD,2033,-940
